numberOfWalkDecisions,899672,1,,,,,
NumberOfBicycleDecisions,328,,,,,,
NumberOfPassesDueToTopography,9,,,,,,
NumberOfPassesDueToRandom,39,,,,,,
NumberOfPassesDueToNoInfra,899624,,,,,,
"",,,,,,,
numberOfWalkDecisions,899676,2,,,,,
NumberOfBicycleDecisions,324,,,,,,
NumberOfPassesDueToTopography,8,,,,,,
NumberOfPassesDueToRandom,22,,,,,,
NumberOfPassesDueToNoInfra,899646,,,,,,
"",,,,,,,
numberOfWalkDecisions,899681,3,,,,,
NumberOfBicycleDecisions,319,,,,,,
NumberOfPassesDueToTopography,5,,,,,,
NumberOfPassesDueToRandom,36,,,,,,
NumberOfPassesDueToNoInfra,899640,,,,,,
"",,,,,,,
numberOfWalkDecisions,899689,4,,,,,
NumberOfBicycleDecisions,311,,,,,,
NumberOfPassesDueToTopography,6,,,,,,
NumberOfPassesDueToRandom,49,,,,,,
NumberOfPassesDueToNoInfra,899634,,,,,,
"",,,,,,,
numberOfWalkDecisions,899681,5,,,,,
NumberOfBicycleDecisions,319,,,,,,
NumberOfPassesDueToTopography,8,,,,,,
NumberOfPassesDueToRandom,34,,,,,,
NumberOfPassesDueToNoInfra,899639,,,,,,
"",,,,,,,
Avarage,320.2,,,,,,
,,,,Number of agents,space between bicycle stations,slop threshold,City's steepiness
,,,,10000,5,2,30
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
